nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
URUGUAI;2012-01-09;5905.0;2440.0;41.31999969482422
AMAZONAS;2012-01-10;312.0;75.0;24.010000228881836
CAPIVARI;2012-01-10;385.0;316.0;82.05000305175781
DOCE;2012-01-10;13.0;11.0;87.45999908447266
GRANDE;2012-01-10;51488.0;38439.0;74.66000366210938
IGUACU;2012-01-10;10248.0;6070.0;59.22999954223633
JACUI;2012-01-10;3197.0;2083.0;65.16000366210938
JEQUITINHONHA;2012-01-10;3024.0;2712.0;89.68000030517578
PARAGUACU;2012-01-10;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-10;563.0;281.0;49.93000030517578
PARAIBA DO SUL;2012-01-10;7360.0;5076.0;68.95999908447266
PARANA;2012-01-10;6059.0;3433.0;56.65999984741211
PARANAIBA;2012-01-10;75422.0;47867.0;63.470001220703125
PARANAPANEMA;2012-01-10;11598.0;7746.0;66.79000091552734
PARNAIBA;2012-01-10;264.0;89.0;33.709999084472656
SAO FRANCISCO;2012-01-10;52835.0;33858.0;64.08000183105469
TIETE;2012-01-10;7353.0;4054.0;55.130001068115234
TOCANTINS;2012-01-10;47794.0;29525.0;61.779998779296875
URUGUAI;2012-01-10;5905.0;2412.0;40.849998474121094
AMAZONAS;2012-01-11;312.0;75.0;24.010000228881836
CAPIVARI;2012-01-11;385.0;320.0;83.08999633789062
DOCE;2012-01-11;13.0;11.0;87.45999908447266
GRANDE;2012-01-11;51488.0;39188.0;76.11000061035156
IGUACU;2012-01-11;10248.0;6026.0;58.79999923706055
JACUI;2012-01-11;3197.0;2075.0;64.91000366210938
JEQUITINHONHA;2012-01-11;3024.0;2721.0;89.9800033569336
PARAGUACU;2012-01-11;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-11;563.0;284.0;50.459999084472656
PARAIBA DO SUL;2012-01-11;7360.0;5097.0;69.25
PARANA;2012-01-11;6059.0;3448.0;56.900001525878906
PARANAIBA;2012-01-11;75422.0;48562.0;64.38999938964844
PARANAPANEMA;2012-01-11;11598.0;7725.0;66.61000061035156
PARNAIBA;2012-01-11;264.0;90.0;34.08000183105469
SAO FRANCISCO;2012-01-11;52835.0;34064.0;64.47000122070312
TIETE;2012-01-11;7353.0;4052.0;55.099998474121094
TOCANTINS;2012-01-11;47794.0;29863.0;62.47999954223633
URUGUAI;2012-01-11;5905.0;2384.0;40.369998931884766
AMAZONAS;2012-01-12;312.0;74.0;23.690000534057617
CAPIVARI;2012-01-12;385.0;321.0;83.33999633789062
DOCE;2012-01-12;13.0;12.0;95.41000366210938
GRANDE;2012-01-12;51488.0;39878.0;77.44999694824219
IGUACU;2012-01-12;10248.0;5981.0;58.36000061035156
JACUI;2012-01-12;3197.0;2067.0;64.66000366210938
JEQUITINHONHA;2012-01-12;3024.0;2727.0;90.18000030517578
PARAGUACU;2012-01-12;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-12;563.0;298.0;52.95000076293945
PARAIBA DO SUL;2012-01-12;7360.0;5111.0;69.44000244140625
PARANA;2012-01-12;6059.0;3508.0;57.88999938964844
PARANAIBA;2012-01-12;75422.0;49171.0;65.19000244140625
PARANAPANEMA;2012-01-12;11598.0;7691.0;66.30999755859375
PARNAIBA;2012-01-12;264.0;90.0;34.08000183105469
SAO FRANCISCO;2012-01-12;52835.0;34216.0;64.76000213623047
TIETE;2012-01-12;7353.0;4043.0;54.97999954223633
TOCANTINS;2012-01-12;47794.0;30105.0;62.9900016784668
URUGUAI;2012-01-12;5905.0;2355.0;39.880001068115234
AMAZONAS;2012-01-13;312.0;73.0;23.3700008392334
CAPIVARI;2012-01-13;385.0;321.0;83.33999633789062
DOCE;2012-01-13;13.0;11.0;87.45999908447266
GRANDE;2012-01-13;51488.0;40419.0;78.5
IGUACU;2012-01-13;10248.0;5968.0;58.2400016784668
JACUI;2012-01-13;3197.0;2060.0;64.44000244140625
JEQUITINHONHA;2012-01-13;3024.0;2715.0;89.77999877929688
PARAGUACU;2012-01-13;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-13;563.0;316.0;56.150001525878906
PARAIBA DO SUL;2012-01-13;7360.0;5130.0;69.69999694824219
PARANA;2012-01-13;6059.0;3543.0;58.470001220703125
PARANAIBA;2012-01-13;75422.0;49661.0;65.83999633789062
PARANAPANEMA;2012-01-13;11598.0;7679.0;66.20999908447266
PARNAIBA;2012-01-13;264.0;90.0;34.08000183105469
SAO FRANCISCO;2012-01-13;52835.0;34301.0;64.91999816894531
TIETE;2012-01-13;7353.0;4041.0;54.95000076293945
TOCANTINS;2012-01-13;47794.0;30393.0;63.59000015258789
URUGUAI;2012-01-13;5905.0;2350.0;39.79999923706055
AMAZONAS;2012-01-14;312.0;76.0;24.329999923706055
CAPIVARI;2012-01-14;385.0;323.0;83.86000061035156
DOCE;2012-01-14;13.0;12.0;95.41000366210938
GRANDE;2012-01-14;51488.0;40846.0;79.33000183105469
IGUACU;2012-01-14;10248.0;6162.0;60.130001068115234
JACUI;2012-01-14;3197.0;2053.0;64.22000122070312
JEQUITINHONHA;2012-01-14;3024.0;2693.0;89.05000305175781
PARAGUACU;2012-01-14;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-14;563.0;337.0;59.880001068115234
PARAIBA DO SUL;2012-01-14;7360.0;5138.0;69.80999755859375
PARANA;2012-01-14;6059.0;3572.0;58.95000076293945
PARANAIBA;2012-01-14;75422.0;50092.0;66.41999816894531
PARANAPANEMA;2012-01-14;11598.0;7682.0;66.23999786376953
PARNAIBA;2012-01-14;264.0;91.0;34.459999084472656
SAO FRANCISCO;2012-01-14;52835.0;34519.0;65.33000183105469
TIETE;2012-01-14;7353.0;4041.0;54.95000076293945
TOCANTINS;2012-01-14;47794.0;30690.0;64.20999908447266
URUGUAI;2012-01-14;5905.0;2472.0;41.86000061035156
AMAZONAS;2012-01-15;312.0;80.0;25.610000610351562
CAPIVARI;2012-01-15;385.0;327.0;84.9000015258789
DOCE;2012-01-15;13.0;12.0;95.41000366210938
GRANDE;2012-01-15;51488.0;41291.0;80.19999694824219
IGUACU;2012-01-15;10248.0;6345.0;61.91999816894531
JACUI;2012-01-15;3197.0;2045.0;63.970001220703125
JEQUITINHONHA;2012-01-15;3024.0;2675.0;88.45999908447266
PARAGUACU;2012-01-15;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-15;563.0;356.0;63.25
PARAIBA DO SUL;2012-01-15;7360.0;5151.0;69.9800033569336
PARANA;2012-01-15;6059.0;3614.0;59.63999938964844
PARANAIBA;2012-01-15;75422.0;50474.0;66.91999816894531
PARANAPANEMA;2012-01-15;11598.0;7728.0;66.62999725341797
PARNAIBA;2012-01-15;264.0;91.0;34.459999084472656
SAO FRANCISCO;2012-01-15;52835.0;34812.0;65.88999938964844
TIETE;2012-01-15;7353.0;4098.0;55.72999954223633
TOCANTINS;2012-01-15;47794.0;31076.0;65.0199966430664
URUGUAI;2012-01-15;5905.0;2614.0;44.27000045776367
AMAZONAS;2012-01-16;312.0;81.0;25.93000030517578
CAPIVARI;2012-01-16;385.0;328.0;85.16000366210938
DOCE;2012-01-16;13.0;13.0;103.36000061035156
GRANDE;2012-01-16;51488.0;41543.0;80.68000030517578
IGUACU;2012-01-16;10248.0;6414.0;62.59000015258789
JACUI;2012-01-16;3197.0;2038.0;63.75
JEQUITINHONHA;2012-01-16;3024.0;2673.0;88.38999938964844
PARAGUACU;2012-01-16;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-16;563.0;366.0;65.02999877929688
PARAIBA DO SUL;2012-01-16;7360.0;5176.0;70.31999969482422
PARANA;2012-01-16;6059.0;3662.0;60.439998626708984
PARANAIBA;2012-01-16;75422.0;50783.0;67.33000183105469
PARANAPANEMA;2012-01-16;11598.0;7765.0;66.94999694824219
PARNAIBA;2012-01-16;264.0;91.0;34.459999084472656
SAO FRANCISCO;2012-01-16;52835.0;35006.0;66.26000213623047
TIETE;2012-01-16;7353.0;4104.0;55.810001373291016
TOCANTINS;2012-01-16;47794.0;31466.0;65.83999633789062
URUGUAI;2012-01-16;5905.0;2660.0;45.04999923706055
AMAZONAS;2012-01-17;312.0;81.0;25.93000030517578
CAPIVARI;2012-01-17;385.0;326.0;84.63999938964844
DOCE;2012-01-17;13.0;13.0;103.36000061035156
GRANDE;2012-01-17;51488.0;41755.0;81.0999984741211
IGUACU;2012-01-17;10248.0;6451.0;62.95000076293945
JACUI;2012-01-17;3197.0;2032.0;63.56999969482422
JEQUITINHONHA;2012-01-17;3024.0;2671.0;88.31999969482422
PARAGUACU;2012-01-17;304.0;100.0;32.869998931884766
PARAGUAI;2012-01-17;563.0;370.0;65.73999786376953
PARAIBA DO SUL;2012-01-17;7360.0;5218.0;70.88999938964844
PARANA;2012-01-17;6059.0;3718.0;61.36000061035156
PARANAIBA;2012-01-17;75422.0;51150.0;67.81999969482422
